PINN Sim | Step: 15900 | Ep: 823 | Reward: -5.0584 | Mass: 1965.0
PINN Sim | Step: 16000 | Ep: 828 | Reward: -0.0950 | Mass: 1998.8
PINN Sim | Step: 16100 | Ep: 831 | Reward: 2.2210 | Mass: 2001.2
PINN Sim | Step: 16200 | Ep: 835 | Reward: -5.4508 | Mass: 1984.2
PINN Sim | Step: 16300 | Ep: 838 | Reward: -1.9146 | Mass: 1968.3
PINN Sim | Step: 16400 | Ep: 842 | Reward: -6.9536 | Mass: 1977.9
PINN Sim | Step: 16500 | Ep: 847 | Reward: -4.2181 | Mass: 1985.2
PINN Sim | Step: 16600 | Ep: 850 | Reward: -5.9966 | Mass: 1965.3
PINN Sim | Step: 16700 | Ep: 855 | Reward: 3.6014 | Mass: 2001.0
PINN Sim | Step: 16800 | Ep: 858 | Reward: -11.0370 | Mass: 1991.9
PINN Sim | Step: 16900 | Ep: 862 | Reward: -7.6543 | Mass: 1997.1
PINN Sim | Step: 17000 | Ep: 867 | Reward: -7.8774 | Mass: 1994.1
PINN Sim | Step: 17100 | Ep: 871 | Reward: -10.0000 | Mass: 1988.9
PINN Sim | Step: 17200 | Ep: 876 | Reward: 1.0473 | Mass: 2000.5
PINN Sim | Step: 17300 | Ep: 879 | Reward: -7.5821 | Mass: 1992.1
PINN Sim | Step: 17400 | Ep: 882 | Reward: -8.4609 | Mass: 1952.2
PINN Sim | Step: 17500 | Ep: 886 | Reward: -0.1235 | Mass: 1997.5
PINN Sim | Step: 17600 | Ep: 890 | Reward: -2.1561 | Mass: 1990.9
PINN Sim | Step: 17700 | Ep: 894 | Reward: -8.9783 | Mass: 1968.2
PINN Sim | Step: 17800 | Ep: 898 | Reward: -3.5991 | Mass: 1991.5
PINN Sim | Step: 17900 | Ep: 902 | Reward: -7.5646 | Mass: 1963.8
PINN Sim | Step: 18000 | Ep: 906 | Reward: -3.7112 | Mass: 1992.3
PINN Sim | Step: 18100 | Ep: 910 | Reward: -2.4608 | Mass: 1995.8
PINN Sim | Step: 18200 | Ep: 913 | Reward: -3.2891 | Mass: 1996.8
PINN Sim | Step: 18300 | Ep: 917 | Reward: -5.5063 | Mass: 1992.3
PINN Sim | Step: 18400 | Ep: 921 | Reward: -2.2456 | Mass: 1997.3
PINN Sim | Step: 18500 | Ep: 925 | Reward: -1.7530 | Mass: 1998.9
PINN Sim | Step: 18600 | Ep: 929 | Reward: -2.7804 | Mass: 1990.6
PINN Sim | Step: 18700 | Ep: 932 | Reward: -3.7130 | Mass: 1982.1
PINN Sim | Step: 18800 | Ep: 934 | Reward: -5.5143 | Mass: 1951.8
PINN Sim | Step: 18900 | Ep: 937 | Reward: -5.8111 | Mass: 1946.0
PINN Sim | Step: 19000 | Ep: 941 | Reward: 0.5278 | Mass: 1995.2
PINN Sim | Step: 19100 | Ep: 944 | Reward: -6.2891 | Mass: 1966.0
