Actor Node | Step: 29100 | Output Action: [-0.32491556 -0.01248724]
Actor Node | Step: 29200 | Output Action: [-0.18616214  0.9453559 ]
Actor Node | Step: 29300 | Output Action: [0.44706684 0.3730052 ]
Actor Node | Step: 29400 | Output Action: [0.9112602  0.19728744]
Actor Node | Step: 29500 | Output Action: [-0.92437893  0.10180479]
Actor Node | Step: 29600 | Output Action: [ 0.6196331  -0.10099217]
Actor Node | Step: 29700 | Output Action: [0.8420692  0.95997953]
Actor Node | Step: 29800 | Output Action: [-0.71606034  0.10840985]
Actor Node | Step: 29900 | Output Action: [0.54254967 0.48304573]
Actor Node | Step: 30000 | Output Action: [-0.7770575 -0.8755534]
Actor Node | Step: 30100 | Output Action: [ 0.11868081 -0.45110106]
Actor Node | Step: 30200 | Output Action: [ 0.26323125 -0.3953211 ]
Actor Node | Step: 30300 | Output Action: [-0.7343284  0.6175265]
Actor Node | Step: 30400 | Output Action: [ 1.         -0.24016945]
Actor Node | Step: 30500 | Output Action: [-0.05377349  0.5990277 ]
Actor Node | Step: 30600 | Output Action: [0.7242019  0.05920563]
Actor Node | Step: 30700 | Output Action: [ 0.07875489 -0.13024516]
Actor Node | Step: 30800 | Output Action: [-0.47952083  0.71549195]
Actor Node | Step: 30900 | Output Action: [0.25315297 0.7749217 ]
Actor Node | Step: 31000 | Output Action: [-0.895091   0.6579681]
Actor Node | Step: 31100 | Output Action: [0.24232699 0.6799464 ]
Actor Node | Step: 31200 | Output Action: [0.56596667 0.32808003]
Actor Node | Step: 31300 | Output Action: [ 0.25332847 -0.18909736]
Actor Node | Step: 31400 | Output Action: [-0.20036817  0.21992314]
Actor Node | Step: 31500 | Output Action: [-0.24347222 -0.12006824]
Actor Node | Step: 31600 | Output Action: [0.8636683  0.29549223]
Actor Node | Step: 31700 | Output Action: [-0.6781177   0.45067134]
Actor Node | Step: 31800 | Output Action: [-0.29234672 -0.8769189 ]
Actor Node | Step: 31900 | Output Action: [-0.7656767  -0.62689257]
Actor Node | Step: 32000 | Output Action: [-1.          0.15133943]
Actor Node | Step: 32100 | Output Action: [0.50695175 0.5236515 ]
Actor Node | Step: 32200 | Output Action: [-0.398981  1.      ]
Actor Node | Step: 32300 | Output Action: [-0.4123     -0.04372401]
Actor Node | Step: 32400 | Output Action: [ 0.45643887 -0.5692616 ]
Actor Node | Step: 32500 | Output Action: [0.12267917 0.43193322]
Actor Node | Step: 32600 | Output Action: [-0.39742428  0.4581906 ]
Actor Node | Step: 32700 | Output Action: [0.04557604 1.        ]
Actor Node | Step: 32800 | Output Action: [-0.28914168 -0.46528894]
Actor Node | Step: 32900 | Output Action: [0.4455376  0.09661283]
Actor Node | Step: 33000 | Output Action: [-0.79326534 -0.0129488 ]
Actor Node | Step: 33100 | Output Action: [0.5432392 0.5096413]
Actor Node | Step: 33200 | Output Action: [-0.60281456 -0.33507064]
Actor Node | Step: 33300 | Output Action: [-0.00952059  0.95971256]
Actor Node | Step: 33400 | Output Action: [-0.69957715  0.60473764]
Actor Node | Step: 33500 | Output Action: [-0.22460309 -0.16295284]
Actor Node | Step: 33600 | Output Action: [-0.985134  -0.7042186]
Actor Node | Step: 33700 | Output Action: [-0.9395476  0.5020299]
Actor Node | Step: 33800 | Output Action: [-0.2981105  0.6036009]
Actor Node | Step: 33900 | Output Action: [-0.6230196  0.5670001]
Actor Node | Step: 34000 | Output Action: [-0.8328156  0.5145851]
Actor Node | Step: 34100 | Output Action: [-0.5252604  -0.37246972]
Actor Node | Step: 34200 | Output Action: [ 0.5368579 -1.       ]
Actor Node | Step: 34300 | Output Action: [-0.5776215  0.508985 ]
Actor Node | Step: 34400 | Output Action: [0.68944466 0.5865668 ]
Actor Node | Step: 34500 | Output Action: [-0.18419038  0.79652315]
Actor Node | Step: 34600 | Output Action: [ 0.09829243 -0.6139918 ]
Actor Node | Step: 34700 | Output Action: [-0.5638307  1.       ]
Actor Node | Step: 34800 | Output Action: [0.28862095 1.        ]
Actor Node | Step: 34900 | Output Action: [-0.2709464   0.35085815]
Actor Node | Step: 35000 | Output Action: [-0.09024297  0.82687354]
Actor Node | Step: 35100 | Output Action: [-0.00272461  0.04045804]
Actor Node | Step: 35200 | Output Action: [0.80025464 0.08258948]
Actor Node | Step: 35300 | Output Action: [-0.23743866  0.55470127]
Actor Node | Step: 35400 | Output Action: [ 0.01663019 -0.7163933 ]
Actor Node | Step: 35500 | Output Action: [-0.03167083  0.78252685]
Actor Node | Step: 35600 | Output Action: [0.60537267 0.16118006]
Actor Node | Step: 35700 | Output Action: [0.38939583 0.51088333]
Actor Node | Step: 35800 | Output Action: [-0.28446025  0.3183611 ]
